"","pmc","pmid","doi","author1","title"
"43",4698966,25474343,"10.1038/gim.2014.140","Marrone","Clinical utility of gene-expression profiling in women with early breast cancer: an overview of systematic reviews"
"44",4303196,25440089,"10.1186/s13058-014-0486-7","Khaleel","E2F4 regulatory program predicts patient survival prognosis in breast cancer"
"45",4204201,25240289,"10.1016/j.ejca.2014.08.002","McVeigh","The impact of Oncotype DX testing on breast cancer management and chemotherapy prescribing patterns in a tertiary referral centre"
"46",4251179,25469260,"10.3892/br.2014.371","FUJIMAKI","Association of a transcription factor 21 gene polymorphism with hypertension"
"47",4354298,25274406,"10.1002/ijc.29247","Győrffy","Dynamic classification using case-specific training cohorts outperforms static gene expression signatures in breast cancer"
"48",4428554,25254601,"10.3109/07357907.2014.958232","Kalinsky","Increased Expression of Tumor Proliferation Genes in Hispanic Women with Early-Stage Breast Cancer"
"49",4398124,25381828,"10.4143/crt.2013.223","Lee","The Clinical Impact of 21-Gene Recurrence Score on Treatment Decisions for Patients with Hormone Receptor-Positive Early Breast Cancer in Korea"
"50",4165904,25190451,"10.1186/1472-6963-14-372","Yamauchi","Societal cost-effectiveness analysis of the 21-gene assay in estrogen-receptor–positive, lymph-node–negative early-stage breast cancer in Japan"
"51",4200995,25187476,"10.1634/theoncologist.2014-0124","Adaniel","Genome-Based Risk Prediction for Early Stage Breast Cancer"
"52",4162320,24853663,"10.1097/COC.0000000000000086","Brufsky","Predictive and Prognostic Value of the 21-Gene Recurrence Score in Hormone Receptor–positive, Node-positive Breast Cancer"
"53",4229870,24906694,"10.1186/1756-9966-33-49","Yin","A 41-gene signature derived from breast cancer stem cells as a predictor of survival"
"54",4048217,24905342,"10.1371/journal.pone.0098787","Mannelqvist","An 18-Gene Signature for Vascular Invasion Is Associated with Aggressive Features and Reduced Survival in Breast Cancer"
"55",4097999,24885572,"10.1210/en.2013-1208","Medina","Maternal Inheritance of an Inactive Type III Deiodinase Gene Allele Affects Mouse Pancreatic β-Cells and Disrupts Glucose Homeostasis"
"56",4041745,24886783,"10.1371/journal.pone.0098229","Woltmann","Systematic Pathway Enrichment Analysis of a Genome-Wide Association Study on Breast Cancer Survival Reveals an Influence of Genes Involved in Cell Adhesion and Calcium Signaling on the Patients’ Clinical Outcome"
"57",4248022,24889663,"10.1111/biom.12191","Kang","Combining Biomarkers to Optimize Patient Treatment Recommendations"
"58",4111681,24879340,"10.4161/cc.29271","Ow","Identification of two poorly prognosed ovarian carcinoma subtypes associated with  <italic>CHEK2</italic>  germ-line mutation and non- <italic>CHEK2</italic>  somatic mutation gene signatures"
"59",4110681,24626128,"10.1097/CCO.0000000000000065","Sartori","Biomarkers in prostate cancer: what’s new?"
"60",4012966,24710310,"10.1634/theoncologist.2013-0401","Srivastava","Prospective Multicenter Study of the Impact of Oncotype DX Colon Cancer Assay Results on Treatment Recommendations in Stage II Colon Cancer Patients"
"61",4000128,24645668,"10.1186/1471-2407-14-211","Zhao","Systematic assessment of prognostic gene signatures for breast cancer shows distinct influence of time and ER status"
"62",3944091,24599057,"10.1371/journal.pone.0090642","Jonsdottir","Prognostic Value of Gene Signatures and Proliferation in Lymph-Node-Negative Breast Cancer"
"63",3925494,24567880,"10.1186/2193-1801-3-71","Fried","Treatment decisions in estrogen receptor-positive early breast cancer patients with intermediate onco <italic>type</italic>  DX recurrence score results"
"64",4433527,24500980,"10.1093/annonc/mdt595","Schmidt","Prediction of benefit from chemotherapy in ER-positive/HER2-negative breast cancer—a problem still to be solved"
"65",3896273,24470765,"10.2147/CEOR.S53142","Mislick","Cost-effectiveness analysis of Mammostrat® compared with Oncotype DX® to inform the treatment of breast cancer"
"66",3891573,24453493,"10.4137/BCBCR.S13727","Toole","Oncotype Dx Results in Multiple Primary Breast Cancers"
"67",3878389,24455283,"10.1155/2013/653805","Guth","Utilization of Oncotype DX in an Inner City Population: Race or Place?"
"68",3869476,24386009,"10.3332/ecancer.2013.380","Siegelmann-Danieli","The impact of the Onco <italic>type</italic>  DX Recurrence Score on treatment decisions and clinical outcomes in patients with early breast cancer: the Maccabi Healthcare Services experience with a unified testing policy"
"69",3919430,24550749,"10.1159/000357535","Gluz","Genomic Profiling in Luminal Breast Cancer"
"70",3859562,24349199,"10.1371/journal.pone.0082125","Lee","A Prognostic Gene Signature for Metastasis-Free Survival of Triple Negative Breast Cancer Patients"
"71",3876071,24304542,"10.3390/ijms141223685","Ahn","Prognostic Discrimination Using a 70-Gene Signature among Patients with Estrogen Receptor-Positive Breast Cancer and an Intermediate 21-Gene Recurrence Score"
"72",3806972,NA,"10.1371/annotation/f715f38e-7aee-4d2b-8bbf-da0411dc6ef3","Varga","Correction: Comparison of EndoPredict and Oncotype DX Test Results in Hormone Receptor Positive Invasive Breast Cancer Comparison of EndoPredict and Oncotype DX Test Results in Hormone Receptor Positive Invasive Breast Cancer"
"73",4007703,24103217,"10.1186/1471-2164-14-690","Knezevic","Analytical validation of the Onco <italic>type</italic>  DX prostate cancer assay – a clinical RT-PCR assay optimized for prostate needle biopsies"
"74",3978752,24060333,"10.1186/bcr3481","Bianchini","Proliferation and estrogen signaling can distinguish patients at risk for early versus late relapse among estrogen receptor positive breast cancers"
"75",3918681,24035531,"10.1016/S1470-2045(13)70387-5","Sgroi","Prediction of late distant recurrence in estrogen receptor positive breast cancer patients: prospective comparison of the Breast Cancer Index (BCI), Oncotype DX recurrence score, and IHC4 in TransATAC"
"76",3915634,24649291,"10.3892/mco.2013.174","AKTAS","Evaluation and correlation of risk recurrence in early breast cancer assessed by Oncotype DX <sup>®</sup> , clinicopathological markers and tumor cell dissemination in the blood and bone marrow"
"77",3859151,24771945,"10.1055/s-0033-1350831","Sinn","Multigene Assays for Classification, Prognosis, and Prediction in
Breast Cancer: a Critical Review on the Background and Clinical
Utility"
"78",3902996,23974828,"10.1007/s10549-013-2666-z","Carlson","The impact of the Oncotype Dx breast cancer assay in clinical practice: a systematic review and meta-analysis"
"79",3937997,24759962,"10.1093/gastro/got022","Reimers","Biomarkers in precision therapy in colorectal cancer"
"80",3838664,23954404,"10.1016/j.reprotox.2013.07.026","Nteeba","High fat diet induced obesity alters ovarian phosphatidylinositol-3 kinase signaling gene expression"
"81",3884690,23899493,"10.1159/000353518","DeFrank","Who gets genomic testing for breast cancer recurrence risk?"
"82",3750399,23866266,"10.1186/1742-2094-10-84","Wilcock","Down’s syndrome, neuroinflammation, and Alzheimer neuropathogenesis"
"83",3783815,23859941,"10.1152/physiolgenomics.00092.2013","Tordoff","Taste dysfunction in BTBR mice due to a mutation of  <italic>Itpr3</italic> , the inositol triphosphate receptor 3 gene"
"84",3978487,23820017,"10.1186/bcr3444","Madden","<italic>BreastMark</italic> : An Integrated Approach to Mining Publicly Available Transcriptomic Datasets Relating to Breast Cancer Outcome"
"85",3706725,23801158,"10.1007/s10549-013-2603-1","Stemmer","The impact of the 21-gene Recurrence Score assay on clinical decision-making in node-positive (up to 3 positive nodes) estrogen receptor-positive breast cancer patients"
"86",3695325,23722312,"10.1007/s10549-013-2559-1","Rouzier","Multigene assays and molecular markers in breast cancer: systematic review of health economic analyses"
"87",3718062,23719261,"10.1158/1078-0432.CCR-13-0033","Stearns","Biomarker Modulation Following Short Term Vorinostat in Women with Newly-Diagnosed Primary Breast Cancer"
"88",3681004,23695023,"10.1038/bjc.2013.207","Holt","A decision impact, decision conflict and economic assessment of routine Onco <italic>type</italic>  DX testing of 146 women with node-negative or pNImi, ER-positive breast cancer in the UK"
"89",3660251,23700391,"10.1371/journal.pmed.1001453","Marisa","Gene Expression Classification of Colon Cancer into Molecular Subtypes: Characterization, Validation, and Prognostic Value"
"90",3653823,23641039,"10.1093/jnci/djt067","Solin","A Multigene Expression Assay to Predict Local Recurrence Risk for Ductal Carcinoma In Situ of the Breast"
"91",3645522,23589849,"10.1073/pnas.1304977110","Volinia","Prognostic microRNA/mRNA signature from the integrated analysis of patients with invasive breast cancer"
"92",3612510,23573359,"","Arango","Gene expression profiling in breast cancer"
"93",3647116,23503643,"10.1038/modpathol.2013.36","Klein","Prediction of the Onco <italic>type</italic>  DX recurrence score: use of pathology-generated equations derived by linear regression analysis"
"94",3591350,23505515,"10.1371/journal.pone.0058483","Varga","Comparison of EndoPredict and Oncotype DX Test Results in Hormone Receptor Positive Invasive Breast Cancer"
"95",3757108,23447452,"10.1002/pon.3264","Spellman","Conveying genomic recurrence risk estimates to patients with early
stage breast cancer: Oncologist perspectives"
"96",4636329,23438931,"10.1161/HYPERTENSIONAHA.111.00712","Kostis","Relationships Between Selected Gene Polymorphisms and Blood Pressure Sensitivity to Weight Loss in Elderly Persons With Hypertension"
"97",3686839,23430023,"10.1158/1078-0432.CCR-12-2093","Goldstein","Molecular Pathways: Extracting Medical Knowledge from High Throughput Genomic Data"
"98",3710166,23942918,"10.1200/JOP.2012.000638","Chen","Evaluating Use Characteristics for the Onco <italic>type</italic>  Dx 21-Gene Recurrence Score and Concordance With Chemotherapy Use in Early-Stage Breast Cancer"
"99",3555819,23372723,"10.1371/journal.pone.0054444","Li","Genetic Mapping and Characteristics of Genes Specifically or Preferentially Expressed during Fiber Development in Cotton"
"100",3611850,23264681,"10.1093/jnci/djs506","Vandergrift","Time to Adjuvant Chemotherapy for Breast Cancer in National Comprehensive Cancer Network Institutions"
"101",3543271,23326466,"10.1371/journal.pone.0053607","O'Neill","Engaging in Health Behaviors to Lower Risk for Breast Cancer Recurrence"
"102",3820467,24278759,"10.6064/2012/942507","Espinel","MammaPrint Feasibility in a Large Tertiary Urban Medical Center: An Initial Experience"
"103",3510623,23209236,"10.1128/JB.01912-12","Trimble","Draft Genome Sequence of  <named-content content-type=""genus-species"">Agrobacterium albertimagni</named-content>  Strain AOL15"
"104",3542834,23323153,"","Arranz","Gene Signatures in Breast Cancer: Current and Future Uses"
"105",3574549,23136233,"10.1093/annonc/mds512","Eiermann","The 21-gene recurrence score assay impacts adjuvant therapy recommendations for ER-positive, node-negative and node-positive early breast cancer resulting in a risk-adapted change in chemotherapy use"
"106",3562396,23096997,"10.1007/s00335-012-9436-9","Xing","Creation and characterization of BAC-transgenic mice with physiological over-expression of epitope-tagged RCAN1 (DSCR1)"
"107",3488327,23031196,"10.1186/1471-2407-12-447","Hannouf","Cost-effectiveness of a 21-gene recurrence score assay versus Canadian clinical practice in women with early-stage estrogen- or progesterone-receptor-positive, axillary lymph-node negative breast cancer"
"108",3525786,23000081,"10.1016/j.cct.2012.09.003","Ramsey","Integrating Comparative Effectiveness Design Elements and Endpoints Into a Phase III, Randomized Clinical Trial (SWOG S1007) Evaluating OncotypeDX-Guided Management for Women With Breast Cancer Involving Lymph Nodes"
"109",3743447,22975761,"10.1038/gim.2012.119","Reed","Cost-Effectiveness of the 21-Gene Recurrence Score Assay in the Context of Multifactorial Decision Making to Guide Chemotherapy for Early-Stage Breast Cancer"
"110",4251369,25562201,"10.3390/jpm2030071","Schuster","Clinical Utility of Gene Expression Profiling Data for Clinical Decision-Making Regarding Adjuvant Therapy in Early Stage, Node-Negative Breast Cancer: A Case Report"
"111",3486702,22981891,"10.1016/j.cct.2012.08.006","Wong","The Value of Comparative Effectiveness Research: Projected Return on Investment of the RxPONDER Trial (SWOG S1007)"
"112",3413640,22880047,"10.1371/journal.pone.0042596","Toriseva","MMP-13 Regulates Growth of Wound Granulation Tissue and Modulates Gene Expression Signatures Involved in Inflammation, Proteolysis, and Cell Viability"
"113",3413972,22899924,"10.1155/2012/728290","Sulayman","Psychosocial and Quality of Life in Women Receiving the 21-Gene Recurrence Score Assay: The Impact of Decision Style in Women with Intermediate RS"
"114",4437504,22481130,"10.1038/gim.2012.3","Deverka","Stakeholder Assessment of the Evidence for Cancer Genomic Tests: Insights from Three Case Studies"
"115",4349488,22723033,"10.1007/s10549-012-2134-1","Schneider","Why does Oncotype DX recurrence score reduce adjuvant chemotherapy use?"
"116",4634870,22764768,"10.2217/fon.12.57","Manjili","Signatures of tumor–immune interactions as biomarkers for breast cancer prognosis"
"117",3256258,21830212,"10.1002/jcp.22980","Dasgupta","Mitochondrial DNA Mutations in Respiratory Complex-I in Never-Smoker Lung Cancer Patients Contribute to Lung Cancer Progression and associated with EGFR gene mutation"
"118",3397719,22614988,"10.1200/JCO.2011.40.1273","Giordano","Decline in the Use of Anthracyclines for Breast Cancer"
"119",3397718,22585699,"10.1200/JCO.2011.38.5740","Hassett","Adoption of Gene Expression Profile Testing and Association With Use of Chemotherapy Among Women With Breast Cancer"
"120",3552372,22547108,"10.1007/s10549-012-2072-y","Solin","Prognostic value of biologic subtype and the 21-gene recurrence score relative to local recurrence after breast conservation treatment with radiation for early stage breast carcinoma: results from the Eastern Cooperative Oncology Group E2197 study"
"121",3349075,22590486,"10.1177/1758834012439338","Lønning","Poor-prognosis estrogen receptor- positive disease: present and future clinical solutions"
"122",3477878,22532584,"10.1093/annonc/mds080","Prat","Concordance among gene expression-based predictors for ER-positive breast cancer treated with adjuvant tamoxifen"
"123",3348969,22504492,"10.1016/j.physbeh.2012.03.030","Tordoff","Macronutrient choice of BTBR.NZW mice congenic for a 21-gene region of chromosome 17"
"124",3336833,22418568,"10.1634/theoncologist.2012-0007","Kelly","Agreement in Risk Prediction Between the 21-Gene Recurrence Score Assay (Onco <italic>type</italic>  DX®) and the PAM50 Breast Cancer Intrinsic Classifier™ in Early-Stage Estrogen Receptor–Positive Breast Cancer"
"125",3287238,22354166,"10.1172/JCI62372","Birger","DYRK1A in Down syndrome: an oncogene or tumor suppressor?"
"126",3297690,22302016,"10.1158/1055-9965.EPI-11-0741","Fridley","Gene set analysis of survival following ovarian cancer implicates macrolide binding and intracellular signaling genes"
"127",3312707,22811953,"10.4103/2153-3539.92027","Basavanhally","Multi-field-of-view strategy for image-based outcome prediction of multi-parametric estrogen receptor-positive breast cancer histopathology: Comparison to Oncotype DX"
"128",3251497,NA,"10.3121/cmr.2011.1020.c-c4-01","Fuller","C-C4-01: Rapid Exploration of Large Clinical Text Corpora for Information Extraction Feasibility Studies"
"129",3274612,22047960,"10.1016/j.lungcan.2011.09.016","Wan","Signaling pathway-based identification of extensive prognostic gene signatures for lung adenocarcinoma"
"130",3202518,22046260,"10.1371/journal.pone.0026177","Huang","Altered Expression of Insulin Receptor Isoforms in Breast Cancer"
"131",3233285,22016474,"10.1634/theoncologist.2011-0045","Joh","The Effect of Oncotype DX Recurrence Score on Treatment Recommendations for Patients with Estrogen Receptor–Positive Early Stage Breast Cancer and Correlation with Estimation of Recurrence Risk by Breast Cancer Specialists"
"132",3221521,22010013,"10.1200/JCO.2011.35.3714","Tang","Risk of Recurrence and Chemotherapy Benefit for Patients With Node-Negative, Estrogen Receptor–Positive Breast Cancer: Recurrence Score Alone and Integrated With Pathologic and Clinical Factors"
"133",4612510,21983879,"10.1007/s00262-011-1109-0","Bai","Tipifarnib-mediated suppression of T-bet-dependent signaling pathways"
"134",3241562,21970880,"10.1038/bjc.2011.402","Sahebjam","Ki 67 is a major, but not the sole determinant of Oncotype Dx recurrence score"
"135",3754448,21964579,"10.1007/s10549-011-1791-9","Brewer","Improving Communication of Breast Cancer Recurrence Risk"
"136",3228065,21934103,"10.1634/theoncologist.2011-0048","Kamal","Breast Medical Oncologists' Use of Standard Prognostic Factors to Predict a 21-Gene Recurrence Score"
"137",3145540,21984342,"10.1371/currents.RRN1249","Ishibe","Use of Oncotype DX in Women with Node-Positive Breast Cancer"
"138",3138387,22478853,"","CARLSON","Putting a Lid on Chemotherapy Costs"
"139",3092466,21886510,"10.1200/JOP.2011.000303","Hornberger","US Insurance Program's Experience With a Multigene Assay for Early-Stage Breast Cancer"
"140",3561586,21859557,"10.1016/j.clcc.2011.03.001","Kelley","Prognostic and Predictive Markers in Stage II Colon Cancer: Is There a Role for Gene Expression Profiling?"
"141",3094326,21501481,"10.1186/1471-2407-11-143","Kao","Correlation of microarray-based breast cancer molecular subtypes and clinical outcomes: implications for treatment optimization"
"142",3431022,21479927,"10.1007/s10549-011-1470-x","Ascierto","A signature of immune function genes associated with recurrence-free survival in breast cancer patients"
"143",3051869,21731516,"10.1200/JOP.2010.000046","Oratz","Physician Survey of the Effect of the 21-Gene Recurrence Score Assay Results on Treatment Recommendations for Patients With Lymph Node–Positive, Estrogen Receptor–Positive Breast Cancer"
"144",3045383,21364922,"10.1371/journal.pone.0017010","Dierssen","Behavioral Characterization of a Mouse Model Overexpressing  <italic>DSCR1/ RCAN1</italic>"
"145",4266581,21221771,"10.1007/s10549-010-1331-z","Tang","Comparison of the Prognostic and Predictive Utilities of the 21-Gene Recurrence Score Assay and Adjuvant! for Women with Node-Negative, ER-Positive Breast Cancer: Results from NSABP B-14 and NSABP B-20"
"146",3695822,21233242,"","Kelley","Personalized Medicine and Oncology Practice Guidelines: A Case Study of Contemporary Biomarkers in Colorectal Cancer"
"147",3016296,21176237,"10.1186/1471-2407-10-691","Clark-Langone","Translating tumor biology into personalized treatment planning: analytical performance characteristics of the Onco <italic>type </italic> DX <sup>® </sup> Colon Cancer Assay"
"148",3382301,23074401,"","(none)","Gene Expression Profiling for Guiding Adjuvant Chemotherapy Decisions in Women with Early Breast Cancer"
"149",2940137,20877447,"10.1371/currents.RRN1177","Webber","Oncotype DX tumor gene expression profiling in stage II colon cancer"
"150",3096952,20809974,"10.1186/bcr2633","Parisi","Benefits of biomarker selection and clinico-pathological covariate inclusion in breast cancer prognostic models"
"151",2936466,21197187,"10.1200/JOP.000075","Trosman","Coverage Policy Development for Personalized Medicine: Private Payer Perspectives on Developing Policy for the 21-Gene Assay"
"152",2952857,20494980,"10.1093/nar/gkq402","Warnatz","Functional analysis and identification of  <italic>cis</italic> -regulatory elements of human chromosome 21 gene promoters"
"153",3227976,20421266,"10.1634/theoncologist.2009-0277","Kelly","Review of the Clinical Studies Using the 21-Gene Assay"
"154",3227972,20421264,"10.1634/theoncologist.2009-0275","Tsoi","Cost-Effectiveness Analysis of Recurrence Score-Guided Treatment Using a 21-Gene Assay in Early Breast Cancer"
"155",2826761,19880498,"10.1182/blood-2009-05-218560","Kang","Gene expression classifiers for relapse-free survival and minimal residual disease improve risk classification and outcome prediction in pediatric B-precursor acute lymphoblastic leukemia"
"156",2849763,20065188,"10.1200/JCO.2009.23.7610","Mamounas","Association Between the 21-Gene Recurrence Score Assay and Risk of Locoregional Recurrence in Node-Negative, Estrogen Receptor–Positive Breast Cancer: Results From NSABP B-14 and NSABP B-20"
"157",3445029,22112467,"10.3233/CBM-2011-0159","Grizzle","Translational pathology of neoplasia"
"158",3396025,19996222,"10.1158/1078-0432.CCR-09-1450","Sparano","Relationship Between Topoisomerase 2A RNA Expression and Recurrence after Adjuvant Chemotherapy for Breast Cancer"
"159",3058239,20005174,"10.1016/S1470-2045(09)70314-6","Albain","Prognostic and Predictive Value of the 21-Gene Recurrence Score Assay in a Randomized Trial of Chemotherapy for Postmenopausal, Node-Positive, Estrogen Receptor-Positive Breast Cancer"
"160",2815198,19963286,"10.1016/j.tips.2009.10.010","Gardiner","Molecular basis of pharmacotherapies for cognition in Down syndrome"
"161",3128918,19723662,"10.1158/0008-5472.CAN-08-3350","Culhane","Confounding Effects in “A Six-Gene Signature Predicting Breast Cancer Lung Metastasis”"
"162",4284890,NA,"10.1186/bcr2287","Baehner","Population-based study of hormone receptor status comparing Onco <italic>type </italic> DX with standard immunohistochemistry"
"163",4284889,NA,"10.1186/bcr2286","Baehner","HER2 assessment using fluorescence  <italic>in situ </italic> hybridization compared with Onco <italic>type </italic> DX and association with risk of breast cancer death"
"164",2724004,19458618,"10.1038/nature08062","Baek","Down syndrome suppression of tumor growth and the role of the calcineurin inhibitor DSCR1"
"165",2779545,19306335,"10.1002/humu.20944","Arnold","INTERACTION BETWEEN A CHROMOSOME 10  <italic>RET</italic>  ENHANCER AND CHROMOSOME 21 IN THE DOWN SYNDROME-HIRSCHSPRUNG DISEASE ASSOCIATION"
"166",2688942,19435470,"10.1186/bcr2238","Oakman","Recent advances in systemic therapy. New diagnostics and biological predictors of outcome in early breast cancer"
"167",2707256,19101988,"10.1002/ijc.24017","Habermann","The gene expression signature of genomic instability in breast cancer is an independent predictor of clinical outcome"
"168",2653639,19325872,"10.1371/journal.pgen.1000438","Zhang","DNA Methylation Analysis of Chromosome 21 Gene Promoters at Single Base Pair and Single Allele Resolution"
"169",2688937,19344489,"10.1186/bcr2226","López-Tarruella","Recent advances in systemic therapy. Advances in adjuvant systemic chemotherapy of early breast cancer"
"170",2743614,19125125,"","(none)","Recommendations from the EGAPP Working Group: can tumor gene expression profiling improve outcomes in patients with breast cancer?"
"171",2576670,18805985,"10.1128/JB.00945-08","Aschtgen","SciN Is an Outer Membrane Lipoprotein Required for Type VI Secretion in Enteroaggregative  <italic>Escherichia coli</italic> <xref ref-type=""fn"" rid=""fn1"">▿</xref>  "
"172",2654377,18678838,"10.1200/JCO.2007.14.4501","Goldstein","Prognostic Utility of the 21-Gene Assay in Hormone Receptor–Positive Operable Breast Cancer Compared With Classical Clinicopathologic Features"
"173",3189711,18513166,"10.1089/scd.2007.0177","Lee","Enhanced Chondrogenic Differentiation of Embryonic Stem Cells by Co-Culture with Hepatic Cells"
